lambda_min,lambda_max,best_logM10,err_logM10,best_c,err_c,chi2,chi2_red,pp16,pp50,pp84
15,20,14.330697180471182,0.10120590206706401,2.69432191560014,1.3559998095625938,0.5712280459047485,0.09520467431745809,1.0477637926261825,2.413889116261696,5.700245730044201
20,30,14.407450333270157,0.09744954924759602,2.8142724334057663,1.3149050791069012,0.45772352266292327,0.07628725377715388,1.0466476104919402,2.2126746455819037,3.8048423176932418
30,45,14.569655324073224,0.09284150245493364,3.0213424036703267,1.3243712237816267,0.273685548315354,0.045614258052559004,0.5694745737966083,1.4949477973788956,4.528198474971208
45,60,14.721073604623053,0.08795066151228484,3.320023978709969,1.22893770023225,0.18211231288780222,0.030352052147967035,0.6112130438548294,1.6412082215590837,4.1235642949722875
60,200,14.924723003308651,0.113169739932626,3.558411766522374,1.4395714520810032,0.06820500956291424,0.01136750159381904,0.6269348977517822,1.6722140201091862,3.9528182070988302
