R [Mpc],mean_15_20,sterr_15_20,mean_20_30,sterr_20_30,mean_30_45,sterr_30_45,mean_45_60,sterr_45_60,mean_60_200,sterr_60_200
0.040563287600710346,604037400000000.0,2616138000000.0,671748100000000.0,2539360600000.0,832238200000000.0,4701026000000.0,1017487200000000.0,10904236000000.0,1299282800000000.0,17513787000000.0
0.06397265799644548,490045970000000.0,1876380000000.0,549872450000000.0,1883677700000.0,687506800000000.0,3571606000000.0,848186100000000.0,8460449000000.0,1092726850000000.0,13907195000000.0
0.10089174751847561,359895800000000.0,1278474700000.0,407836970000000.0,1311977200000.0,516437070000000.0,2525334900000.0,649396240000000.0,6044585000000.0,850341000000000.0,10495570000000.0
0.15911711403170734,244186170000000.0,835004470000.0,278087910000000.0,863106430000.0,357835370000000.0,1691825300000.0,457530820000000.0,4058203300000.0,610190100000000.0,7265372000000.0
0.25094476605376465,157314920000000.0,544364200000.0,179839930000000.0,552789500000.0,234592790000000.0,1088853840000.0,303080370000000.0,2579182400000.0,414355930000000.0,4837864400000.0
0.39576682868462515,99407714000000.0,364049200000.0,113148976000000.0,356641340000.0,148061300000000.0,687996100000.0,191811730000000.0,1580861000000.0,267332540000000.0,3128868700000.0
0.624166764464525,63265540000000.0,255842170000.0,70733260000000.0,238527270000.0,90848830000000.0,434578800000.0,116646220000000.0,969711100000.0,163904700000000.0,1941182900000.0
0.9843779761859772,42587604000000.0,187740960000.0,46231390000000.0,168014870000.0,56035906000000.0,284818440000.0,69855886000000.0,625057200000.0,95811970000000.0,1186357600000.0
